author,author_lat,lang,geo,erme_geo,birth_date,comment
"Петайкин, Александр Иванович",,myv,с. Крутая Гора_Ичалковский район,|Myv:MR_KrutajaGora;RU;54.728333;45.352222|,19360908_19991103,
"Петелин, Геннадий Николаевич",,mdf,д. Тростниково_Новосильский район,|Mdf:OrlO_NovosilskijTrostnik;RU;52.916667;37.023889|,19500427_,
"Петрова, Ксения Семёновна",,myv,г. Бугурслан_Самарская область,|Myv:OrenbO_Bugur;RU;53.616667;52.416667|,18920000_19420000,
"Пешонова, Вера Леонтьевна",,mdf,,,,
"Пиняев, Иван Данилович",,myv,с. Напольное_Порецкий район Чувашская Республика,|Myv:CHR_Napoljnoe;RU;55.125833;46.353056|,19??0??0_,
"Пинясов, Григорий Ильич",,mdf,с. Поляна_Зубово-Полянский район,|Mdf:Poljana;RU;53.954166;42.825999|,19440911_2,
"Пинясов, Яков Максимович",,mdf,с. Поляна_Зубово-Полянский район,|Mdf:Poljana;RU;53.954166;42.825999|,19131229_1984,
"Платанов, Сергей Захарович",,myv,д. Сосновка_Шемышейский район,|Myv:PO_Sosnovka;RU;52.891667;45.391667|,19150626_19860520,
"Прончатов, Иван Николаевич",,myv,с. Лобаски_Ичалковский район,|Myv:MR_IchalkLambaske;RU;54.62;45.151944|,19180318_20000619,
"Прохоров, Пётр Васильевич",,myv,с. Тарасово_Атяшевский район,|Myv:MR_Tarasbuje;RU;54.585;46.24|,19231203_19850710,
"Пудин, Александр Иванович",,mdf,с. Мордовский Пимбур_Зубово-Полянский район,|Mdf:MR_ZubuPimbur;RU;53.855278;43.144444|,19580116_,
"Пьянзин, Георгий Абрамович",,mdf,с. Сарга_Старошайговский район,|Mdf:Sarga;RU;54.366667;44.483333|,19110403_1962,
"Пьянзин, Фёдор Федорович",,mdf,с. Сарга_Старошайговский район,|Mdf:Sarga;RU;54.366667;44.483333|,19400610_,
"Пятаев, Емельян Иванович",,myv,с. Кулясово_Камешкирский район,|Myv:PO_Kuljasovo;RU;52.829167;45.8375|,19140817_19670805,(Эмиль Пятай)
"Эмиль Пятай",,myv,с. Кулясово_Камешкирский район,|Myv:PO_Kuljasovo;RU;52.829167;45.8375|,19140817_19670805,(>Пятаев, Емельян Иванович)
"Радаев, Василий Иванович",,myv,с. Алово_Никольский район,|Myv:PO_Alovo;RU;53.560833;46.148333|,19010311_19890823,(литературной псевдонимезэ Радин-Аловский)
"Радаев, Василий Кузьмич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,19070313_19911206,(цёразо:Радаев, Евгений Васильевич)
"Радаев, Евгений Васильевич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,1930????_,
"Радин, Василий Никанорович",,mdf,с. Кичатово_Ковылкинский район,|Mdf:MR_KovylKichat;RU;54.145556;43.843889|,19230830_,
"Раптанов, Тимофей Алексеевич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,19060517_19360604,
"Рогожин, Алексей Владимирович",,myv,д. Балабаш-Нурусово_Первомайский район,|Myv:CHR_BalabashNurusovo;RU;55.105;47.238611|,19090307_19440324,
"Родькин, Василий Нестерович",,mdf,п. Красный_Старошайговский район,|Mdf:MR_Krasnyj;RU;54.418056;44.47|,19360114_,"(|MR_Krasnyj;RU;54.418056;44.47|Краснай посёлкаса, кона Сире Шайгавонь районца)"
"Родькина, Полина Егоровна",,mdf,с. Старые Пичуры_Торбеевский район,|Mdf:StPichury;RU;54.003;43.471|,19251007_,(|StPichury;RU;54.003;43.471|Торбеевань районцта)
"Рузавин, Д??? ???",,mdf,,,,
"Сайгин, Михаил Лукьянович",,mdf,с. Ежовка_Ковылкинский район,|Mdf:Jožka;RU;54.084907;43.712426|,19131121_20070427,
"Самородов, Кирилл Тимофеевич",,mdf,с. Новая Толковка_Ковылкинский район,|Mdf:MR_NovTolkovka;RU;54.233333;44.033333|,19100415_19911207,
"Самошкин, Семён Аверьянович",,mdf,с. Тарханская Потьма_Зубово-Полянский район,|Mdf:RM_Tarxanskaja;RU;53.930278;42.975556|,19150201_19990412,
"Седойкин, Леонид Павлович",,myv,с. Кабаево_Дубёнский район,|Myv:Kob;RU;54.525698;46.474162|,19580515_2022,(||)
"Сёмкин, А. ???",,myv,,,,
"Сидоров, Виктор Иванович",,myv,с. Сабанчеево_Атяшевский район,|Myv:MR_Sabančeevo;RU;54.585;46.28|,19620624_,
"Симдянов, Николай Михайлович",,mdf,с. XX_XX район,|Mdf:_;RU;_;_|,19180???_,
"Скороходов, Николай ???",,myv,,,,
"Сульдина, Анна Дмитриевна",,myv,с. Арадатова_Дубёнский район,|Myv:MR_Ardatova;RU;54.404722;46.321111|,19501116_,
"Таракина, Эльвира Н.",,mdf,,,,
"Тарасов, Яким ???",,mdf,с. ??_?? район,|Mdf:??;RU;Q;Q|,19???_,
"Тарасова, Марина Андреева",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833,45.353|,19680710_,
"Ташкаев, Михаил ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Терентьев, Александр Николаевич",,mdf,г. Аткарск_Саратовская область,|Mdf:SarO_Atkarska;RU;51.866667;45|,19470331_19960313,
